name,high,low,open,close,avg,volume,day
S27,9.247252747,9.152747253,9.238461538,9.157142857,9.206252747,1963,2022-01-01 to 2022-05-22
SIC,20.73516484,20.01098901,20.22637363,20.55054945,20.17921978,1959,2022-01-01 to 2022-05-22
VSN,33.02527473,31.85164835,32.41428571,32.41538462,32.31283516,1929,2022-01-01 to 2022-05-22
BSG,10.36483516,9.867032967,10.0021978,10.2,10.10478022,1924,2022-01-01 to 2022-05-22
SQC,32.0021978,31.25824176,31.67142857,31.64505495,31.55650549,1907,2022-01-01 to 2022-05-22
VCM,19.29120879,18.98901099,19.04505495,19.26593407,19.113,1896,2022-01-01 to 2022-05-22
QTC,17.26813187,17.03626374,17.12527473,17.17252747,17.12936264,1894,2022-01-01 to 2022-05-22
CKV,21.30769231,21.06373626,21.2021978,21.22417582,21.23991209,1890,2022-01-01 to 2022-05-22
QSP,22.96923077,22.7989011,22.93076923,22.84505495,22.88589011,1881,2022-01-01 to 2022-05-22
INC,14.20659341,13.95164835,14.06483516,14.07252747,14.05865934,1871,2022-01-01 to 2022-05-22
SB1,8.708791209,8.602197802,8.66043956,8.649450549,8.635604396,1859,2022-01-01 to 2022-05-22
MH3,57.77252747,56.66043956,56.74285714,57.70659341,57.43775824,1856,2022-01-01 to 2022-05-22
CLW,34.32472527,34.06593407,34.21703297,34.10054945,12.39615385,1832,2022-01-01 to 2022-05-22
TNB,24.22527473,23.94285714,24.06813187,24.11868132,24.11215385,1832,2022-01-01 to 2022-05-22
MCP,29.55879121,27.99505495,28.29120879,29.11373626,20.12092308,1816,2022-01-01 to 2022-05-22
ND2,31.6032967,31.43516484,31.54285714,31.4989011,31.48346154,1800,2022-01-01 to 2022-05-22
SGS,17.65934066,17.47582418,17.58351648,17.56043956,17.56935165,1782,2022-01-01 to 2022-05-22
PTE,3.108791209,3.053846154,3.067032967,3.087912088,3.082131868,1782,2022-01-01 to 2022-05-22
VIM,26.19010989,25.7956044,25.9967033,25.9956044,26.00937363,1768,2022-01-01 to 2022-05-22
DTT,15.2978022,15.1021978,15.14615385,15.23461538,6.785164835,1766,2022-01-01 to 2022-05-22
DAD,25.12417582,24.31978022,24.56923077,24.97472527,24.59861538,1702,2022-01-01 to 2022-05-22
YBC,12.62967033,12.5043956,12.53406593,12.58571429,12.56683516,1681,2022-01-01 to 2022-05-22
SSM,7.80989011,7.435164835,7.586813187,7.721978022,7.606813187,1678,2022-01-01 to 2022-05-22
SDY,3.526373626,3.463736264,3.482417582,3.502197802,3.491362637,1602,2022-01-01 to 2022-05-22
VCT,17.92857143,17.65604396,17.82417582,17.78901099,17.82053846,1596,2022-01-01 to 2022-05-22
DXL,9.073626374,8.734065934,8.907692308,8.991208791,8.893406593,1591,2022-01-01 to 2022-05-22
KIP,11.20549451,11.07802198,11.13956044,11.15274725,11.13064835,1586,2022-01-01 to 2022-05-22
VC6,12.95604396,12.72087912,12.81538462,12.87142857,12.82624176,1582,2022-01-01 to 2022-05-22
DRL,66.95604396,66.26483516,66.64285714,66.67362637,54.86989011,1570,2022-01-01 to 2022-05-22
HPD,22.62967033,21.78571429,22.04835165,22.42307692,22.02671429,1545,2022-01-01 to 2022-05-22
STC,22.16153846,21.65054945,21.81098901,21.9989011,21.92386813,1525,2022-01-01 to 2022-05-22
