Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2022-04-21,78400.0,79200.0,78200.0,78400.0,2178200,VND,1000.0,0.0,79400.0,81228.57142857143,81738.09523809524,1824.8287590896011,2096.062067419812
2022-04-22,79100.0,82600.0,79100.0,82200.0,2776600,VND,3500.0,-3100.0,79371.42857142857,81185.71428571429,81609.52380952382,1770.794817508448,1971.523462174566
2022-04-25,82200.0,83000.0,77000.0,81800.0,2479400,VND,6000.0,400.0,79485.71428571429,81128.57142857143,81528.57142857143,1913.4859736692745,1924.355179571298
2022-04-26,79000.0,80500.0,79000.0,80500.0,1912000,VND,1500.0,-1500.0,79528.57142857143,80950.0,81433.33333333333,1935.384790090788,1923.3651066122
2022-04-27,79900.0,82000.0,78200.0,81500.0,1429800,VND,3800.0,-1600.0,80071.42857142857,80728.57142857143,81390.47619047618,1868.7913078729218,1910.7340897950157
2022-04-28,81500.0,81600.0,79500.0,81500.0,564100,VND,2100.0,0.0,80614.28571428571,80621.42857142857,81371.42857142857,1597.319182702366,1907.3916370643137
2022-04-29,81400.0,82300.0,80000.0,80900.0,1259200,VND,2300.0,500.0,80971.42857142857,80471.42857142857,81319.04761904762,1264.534546403526,1904.3684117363093
2022-05-04,80900.0,81500.0,79000.0,79900.0,892600,VND,2500.0,1000.0,81185.71428571429,80292.85714285714,81214.28571428571,796.7194642797663,1919.7097994972416
2022-05-05,80500.0,81500.0,79600.0,81000.0,1019300,VND,1900.0,-500.0,81014.28571428571,80192.85714285714,81128.57142857143,659.3647736740643,1885.2434477124916
2022-05-06,79700.0,81200.0,79400.0,79400.0,775900,VND,1800.0,300.0,80671.42857142857,80078.57142857143,80976.19047619047,793.1252228040552,1889.6837729908111
2022-05-09,78800.0,80400.0,77800.0,77900.0,1674200,VND,2600.0,900.0,80300.0,79914.28571428571,80733.33333333333,1320.3534880227037,1943.5362958620963
2022-05-10,77100.0,80000.0,77100.0,80000.0,926000,VND,2900.0,-2900.0,80085.71428571429,80078.57142857143,80514.28571428571,1210.273483458307,1733.8643875129733
2022-05-11,80000.0,80300.0,79000.0,80000.0,931300,VND,1300.0,0.0,79871.42857142857,80242.85714285714,80371.42857142857,1038.7721689802968,1639.860621255014
2022-05-12,79000.0,79900.0,77000.0,77000.0,972300,VND,2900.0,2000.0,79314.28571428571,80142.85714285714,80085.71428571429,1383.7492203294453,1681.1560648213888
2022-05-13,77000.0,78000.0,73000.0,73000.0,1963600,VND,5000.0,4000.0,78328.57142857143,79757.14285714286,79638.09523809524,2714.598979416322,2204.1951343917385
2022-05-16,75500.0,76400.0,74000.0,74200.0,1558800,VND,2400.0,1300.0,77357.14285714286,79185.71428571429,79247.61904761905,2814.164851163556,2407.409198208537
